/nfs/homedirs/gmik/lrgwn/.venv/lib/python3.11/site-packages/torch_geometric/data/dataset.py:115: UserWarning: The `pre_transform` argument differs from the one used in the pre-processed version of this dataset. If you want to make use of another pre-processing technique, pass `force_reload=True` explicitly to reload the dataset.
  self._process()
wandb: [wandb.login()] Loaded credentials for https://api.wandb.ai from /nfs/homedirs/gmik/.netrc.
wandb: Currently logged in as: m-goloshchapov (m_goloshchapov) to https://api.wandb.ai. Use `wandb login --relogin` to force relogin
wandb: setting up run i5fz1nzb
wandb: Tracking run with wandb version 0.24.2
wandb: Run data is saved locally in /nfs/homedirs/gmik/lrgwn/wandb/run-20260305_142357-i5fz1nzb
wandb: Run `wandb offline` to turn off syncing.
wandb: Syncing run daily-aardvark-10
wandb: ⭐️ View project at https://wandb.ai/m_goloshchapov/peptides-func
wandb: 🚀 View run at https://wandb.ai/m_goloshchapov/peptides-func/runs/i5fz1nzb
Epoch 241, train loss 0.0193, val loss 0.4928, val average_precision 0.6877
Epoch 242, train loss 0.0186, val loss 0.4883, val average_precision 0.6927
Epoch 243, train loss 0.0181, val loss 0.4903, val average_precision 0.6934
Epoch 244, train loss 0.0196, val loss 0.4946, val average_precision 0.6983
Epoch 245, train loss 0.0181, val loss 0.4960, val average_precision 0.6868
Epoch 246, train loss 0.0193, val loss 0.4935, val average_precision 0.6913
Epoch 247, train loss 0.0189, val loss 0.4807, val average_precision 0.6842
Epoch 248, train loss 0.0176, val loss 0.4915, val average_precision 0.6949
Epoch 249, train loss 0.0184, val loss 0.5005, val average_precision 0.6957
Epoch 250, train loss 0.0190, val loss 0.5218, val average_precision 0.6917
Epoch 251, train loss 0.0178, val loss 0.5129, val average_precision 0.6876
Epoch 252, train loss 0.0180, val loss 0.4814, val average_precision 0.6944
Epoch 253, train loss 0.0191, val loss 0.4895, val average_precision 0.6968
Epoch 254, train loss 0.0176, val loss 0.5142, val average_precision 0.6920
Epoch 255, train loss 0.0173, val loss 0.4871, val average_precision 0.6873
Epoch 256, train loss 0.0179, val loss 0.5070, val average_precision 0.6835
Epoch 257, train loss 0.0181, val loss 0.5074, val average_precision 0.6944
Epoch 258, train loss 0.0183, val loss 0.5230, val average_precision 0.6900
Epoch 259, train loss 0.0184, val loss 0.5211, val average_precision 0.6914
Epoch 260, train loss 0.0157, val loss 0.5255, val average_precision 0.6899
Epoch 261, train loss 0.0167, val loss 0.5185, val average_precision 0.6895
Epoch 262, train loss 0.0165, val loss 0.4927, val average_precision 0.6945
Epoch 263, train loss 0.0175, val loss 0.5480, val average_precision 0.6947
Epoch 264, train loss 0.0170, val loss 0.5122, val average_precision 0.6921
Epoch 265, train loss 0.0155, val loss 0.5066, val average_precision 0.6935
Epoch 266, train loss 0.0155, val loss 0.5321, val average_precision 0.6944
Epoch 267, train loss 0.0165, val loss 0.5366, val average_precision 0.6927
Epoch 268, train loss 0.0168, val loss 0.5456, val average_precision 0.6896
Epoch 269, train loss 0.0157, val loss 0.5335, val average_precision 0.6906
Epoch 270, train loss 0.0157, val loss 0.5474, val average_precision 0.6936
Epoch 271, train loss 0.0157, val loss 0.5280, val average_precision 0.6878
Epoch 272, train loss 0.0155, val loss 0.5217, val average_precision 0.6942
Epoch 273, train loss 0.0154, val loss 0.5249, val average_precision 0.6976
Epoch 274, train loss 0.0164, val loss 0.5171, val average_precision 0.7009
Epoch 275, train loss 0.0151, val loss 0.5136, val average_precision 0.6969
Epoch 276, train loss 0.0138, val loss 0.5317, val average_precision 0.6908
Epoch 277, train loss 0.0137, val loss 0.5468, val average_precision 0.6904
Epoch 278, train loss 0.0156, val loss 0.5256, val average_precision 0.6946
Epoch 279, train loss 0.0153, val loss 0.5308, val average_precision 0.6893
Epoch 280, train loss 0.0163, val loss 0.5460, val average_precision 0.6939
Epoch 281, train loss 0.0151, val loss 0.5287, val average_precision 0.6947
Epoch 282, train loss 0.0164, val loss 0.5241, val average_precision 0.6914
Epoch 283, train loss 0.0141, val loss 0.5272, val average_precision 0.6920
Epoch 284, train loss 0.0149, val loss 0.5484, val average_precision 0.6873
Epoch 285, train loss 0.0164, val loss 0.5434, val average_precision 0.6897
Epoch 286, train loss 0.0148, val loss 0.5360, val average_precision 0.6881
Epoch 287, train loss 0.0134, val loss 0.5525, val average_precision 0.6902
Epoch 288, train loss 0.0157, val loss 0.5387, val average_precision 0.6941
Epoch 289, train loss 0.0144, val loss 0.5498, val average_precision 0.6867
Epoch 290, train loss 0.0130, val loss 0.5289, val average_precision 0.6913
Epoch 291, train loss 0.0140, val loss 0.5381, val average_precision 0.6962
Epoch 292, train loss 0.0140, val loss 0.5231, val average_precision 0.6971
Epoch 293, train loss 0.0142, val loss 0.5246, val average_precision 0.6971
Epoch 294, train loss 0.0134, val loss 0.5210, val average_precision 0.6951
Epoch 295, train loss 0.0118, val loss 0.5673, val average_precision 0.6954
Epoch 296, train loss 0.0116, val loss 0.5668, val average_precision 0.6956
Epoch 297, train loss 0.0127, val loss 0.5380, val average_precision 0.6984
Epoch 298, train loss 0.0138, val loss 0.5404, val average_precision 0.6932
